Date,Open,High,Low,Close,Adj Close,Volume
2022-09-01,3189.600098,3268.699951,2926.000000,3004.600098,2908.571045,4503708
2022-10-01,3004.600098,3199.300049,2973.850098,3193.050049,3090.998047,4409532
2022-11-01,3209.000000,3428.000000,3168.000000,3392.399902,3283.976807,3839303
2022-12-01,3421.000000,3479.649902,3164.000000,3259.250000,3155.082275,1643242
2023-01-01,3265.000000,3457.949951,3200.000000,3357.449951,3250.143555,1615077
2023-02-01,3380.000000,3575.000000,3300.050049,3314.149902,3281.159424,1107799
2023-03-01,3326.500000,3404.000000,3096.100098,3205.800049,3173.888184,1400734
2023-04-01,3225.000000,3275.000000,3070.300049,3216.000000,3183.986328,1957145
2023-05-01,3217.000000,3339.000000,3174.050049,3291.000000,3258.239990,750490
2023-06-01,3310.000000,3339.800049,3156.199951,3300.500000,3267.645264,1984292
2023-07-01,3300.850098,3549.000000,3265.000000,3355.350098,3346.649902,1012376
2023-08-01,3425.000000,3487.750000,3350.000000,3388.800049,3388.800049,1691138
2023-08-25,3375.000000,3385.000000,3350.000000,3380.600098,3380.600098,155554
